date,game_id,season,neutral,playoff,home,away,elo1_pre_home,elo2_pre_away,home_score,away_score
19-10-2021,1,2022,0,,MIL,BRK,1657.74989,1605.053732,127,104
19-10-2021,2,2022,0,,LAL,GSW,1549.258851,1529.010908,114,121
20-10-2021,3,2022,0,,CHO,IND,1438.333792,1487.419833,123,122
20-10-2021,4,2022,0,,DET,CHI,1380.825861,1495.430593,88,94
20-10-2021,5,2022,0,,NYK,BOS,1547.753492,1499.792561,138,134
20-10-2021,6,2022,0,,TOR,WAS,1449.348147,1494.785854,83,98
20-10-2021,7,2022,0,,MEM,CLE,1540.75438,1352.696783,132,121
20-10-2021,8,2022,0,,NOP,PHI,1482.179835,1609.071634,97,117
20-10-2021,9,2022,0,,MIN,HOU,1439.446279,1346.47428,124,106
20-10-2021,10,2022,0,,SAS,ORL,1477.617183,1330.467357,123,97
20-10-2021,11,2022,0,,UTA,OKC,1615.06437,1309.05502,107,86
20-10-2021,12,2022,0,,PHO,DEN,1650.23158,1577.362511,98,110
20-10-2021,13,2022,0,,POR,SAC,1581.015607,1454.318618,121,124
21-10-2021,14,2022,0,,ATL,DAL,1570.150094,1540.788162,113,87
21-10-2021,15,2022,0,,MIA,MIL,1512.586137,1667.197782,137,95
21-10-2021,16,2022,0,,GSW,LAC,1541.417931,1624.110628,115,113
22-10-2021,17,2022,0,,WAS,IND,1511.056663,1484.1012,135,134
22-10-2021,18,2022,0,,CLE,CHO,1349.832991,1441.652424,112,123
22-10-2021,19,2022,0,,ORL,NYK,1324.072004,1551.135967,96,121
22-10-2021,20,2022,0,,BOS,TOR,1496.410086,1433.077337,83,115
22-10-2021,21,2022,0,,PHI,BRK,1623.868256,1595.60584,109,114
22-10-2021,22,2022,0,,CHI,NOP,1502.752909,1467.383214,128,112
22-10-2021,23,2022,0,,HOU,OKC,1339.937729,1306.801231,124,91
22-10-2021,24,2022,0,,DEN,SAS,1597.080552,1484.012535,102,96
22-10-2021,25,2022,0,,SAC,UTA,1465.063173,1617.31816,101,110
22-10-2021,26,2022,0,,LAL,PHO,1536.851828,1630.513539,105,115
23-10-2021,27,2022,0,,CLE,ATL,1338.488159,1581.656873,101,95
23-10-2021,28,2022,0,,IND,MIA,1481.716072,1546.457382,102,91
23-10-2021,29,2022,0,,TOR,DAL,1470.995945,1529.281384,95,103
23-10-2021,30,2022,0,,MIN,NOP,1445.98283,1459.404903,96,89
